nature,increased stat,decreased stat,
lonely,attack,defense,
brave,attack,speed,
adamant,attack,sp. attack,
naughty, attack,sp. defense,
bold,defense,attack,
docile,-,-,
relaxed,defense,speed,
impish,defense,sp. attack,
lax,defense,sp. defense,
timid,speed,attack,
hasty,speed,defense,
serious,-,-,
jolly,speed,sp. attack,
naive,speed,sp. defense,
modest,sp. attack,attack
mild,sp. attack,defense,
quiet,sp. attack,speed,
bashful,-,-,
rash,sp. attack,sp. defense,
calm,sp. defense,attack,
gentle,sp. defense,defense,
sassy,sp. defense,speed,
careful,sp. defense,sp. attack,
quirky,-,-